county,city,address,date,lat,long
BRYAN,DURANT,4805 9 S,12/3/2002,37.444582,-105.95025
BRYAN,DURANT,312 LOUISIANA AVE,12/18/2002,35.1694,-94.665367
BRYAN,DURANT,505 GEORGIA E,2/28/2003,35.56277,-97.291544
BRYAN,DURANT,1016 LOUISIANA,10/5/2003,35.205467,-97.427253
BRYAN,DURANT,1614 SOUTH LONE OAK ROAD,11/1/2007,33.974249,-96.321161
BRYAN,KENEFIC,134 KENEFIC ST,1/28/2004,34.144368,-96.361685
BRYAN,MEAD,284 CROWDER ROAD,7/12/2007,34.039206,-96.530025
BRYAN,WILLIFA WOODS,54 FELTON LN,2/17/2006,33.885594,-96.569603
CADDO,ANADARKO,629 TOTTINGHAM W DR,3/28/2001,35.060505,-98.252035
CADDO,ANADARKO,316 OKLAHOMA E ST,5/27/2003,36.909483,-100.53721
CADDO,CARNEGIE,6 MAIN E ST,4/18/2001,42.541874,-76.662371
CADDO,CARNEGIE,324 BROADWAY S,5/19/2003,35.102775,-98.604893
CADDO,CARNEGIE,404 SOUTH CAROL,3/9/2010,35.100954,-98.596069
CADDO,FORT COBB,402 6TH STREET,2/25/2007,35.099273,-98.440944
CADDO,HYDRO,433 HUNT ST,9/11/2000,36.804136,-98.649284
CANADIAN,CALUMET,13508 ELM W,10/14/2001,35.523104,-98.104908
CANADIAN,CALUMET,19915 WEST HWY 270,2/25/2006,35.616132,-98.173039
CANADIAN,EL RENO,201 HOFF N ST,9/28/2000,35.5322,-97.9551
CANADIAN,EL RENO,412 EVANS S ST,7/9/2002,35.5322,-97.9551
CANADIAN,EL RENO,520 CHOCTAW S B,2/10/2003,35.5322,-97.9551
CANADIAN,EL RENO,500 HADDEN S,3/29/2003,35.5322,-97.9551
CANADIAN,EL RENO,139 EL RENO N ST,5/12/2003,35.534595,-97.945152
CANADIAN,EL RENO,2400 SUNSET S LOT 7,10/27/2003,35.5322,-97.9551
CANADIAN,EL RENO,1725 DILLIE S,2/17/2004,35.5322,-97.9551
CANADIAN,EL RENO,520 SOUTH CHOCTAW AVENUE,4/18/2006,35.52848,-97.955301
CANADIAN,EL RENO,701 NORTH CHOCTAW AVENUE,10/13/2009,35.538857,-97.955307
CANADIAN,MUSTANG,11730 MUSTANG S RD,12/11/2000,36.683768,-96.333974
CANADIAN,MUSTANG,616 HIGHLAND S,9/17/2001,36.781858,-95.995275
CANADIAN,MUSTANG,317 CAROL N TER,11/5/2002,35.3842,-97.7245
CANADIAN,MUSTANG,319 HILLCREST E LN,3/31/2003,37.328256,-87.475309
CANADIAN,MUSTANG,219 HILLCREST E LN,7/23/2003,43.719912,-91.975291
CANADIAN,MUSTANG,2347 HIGHWAY 152 E,8/31/2004,35.563304,-80.529325
CANADIAN,MUSTANG,5800 ALOHA CT,9/2/2004,35.409162,-97.720424
CANADIAN,OKLAHOMA CITY,5306 MUSTANG S RD,3/3/2003,35.473,-97.5171
CANADIAN,OKLAHOMA CITY,10500 23RD NW,6/5/2003,35.473,-97.5171
CANADIAN,OKLAHOMA CITY,9717 10 NW ST 339,9/16/2003,35.258251,-95.127476
CANADIAN,UNION CITY,112 GRAND ST,10/31/2003,35.390781,-97.9404
CANADIAN,YUKON,12026 16TH SW,8/18/2000,41.964261,-91.828836
CANADIAN,YUKON,1008 ELM ST,12/6/2000,35.660031,-98.887095
CANADIAN,YUKON,105 CEDAR,7/29/2001,35.509109,-97.744576
CANADIAN,YUKON,220 7TH S ST,3/27/2002,44.308268,-94.448632
CANADIAN,YUKON,12025 ASHFORD DR,1/21/2003,35.591786,-97.720191
CANADIAN,YUKON,911 2ND S ST,1/23/2003,44.308516,-94.462723
CANADIAN,YUKON,106 CORNWELL S 1,1/27/2003,43.0274,-84.143529
CANADIAN,YUKON,10309 BIRKENHEAD RD,9/9/2004,35.453993,-97.700637
CARTER,ARDMORE,1426 RUTLEDGE SE ST,11/3/2003,34.151891,-97.127127
CARTER,LONE GROVE,SUE MILLER RD 291,4/25/2001,34.78574,-98.518698
CARTER,LONE GROVE,11700 PRAIRIE VALLEY ROAD,7/26/2006,34.201949,-97.313441
CARTER,WILSON,301 ASH W,9/30/2002,35.80408,-95.255622
CHEROKEE,COOKSON,21115 WEST 888 RD,4/26/2005,35.727584,-94.93165
CHEROKEE,HULBERT,107 NORTH ELM,4/16/2002,35.934649,-95.14258
CHEROKEE,HULBERT,5037 770TH W RD,2/25/2003,35.253635,-94.548777
CHEROKEE,HULBERT,10336 NORTH 427 ROAD,12/28/2011,36.026598,-95.120538
CHEROKEE,HULBERT,7723 WEST J B TEAGUE DRIVE,7/11/2012,34.689318,-118.269059
CHEROKEE,MOODYS,11019 530 N RD,5/31/2005,35.754241,-98.743177
CHEROKEE,PARK HILL,35144 488 N RD,9/30/2002,35.8612,-94.9588
CHEROKEE,TAHLEQUAH,313 BAILEY BLVD,7/25/2001,35.981692,-94.888753
CHEROKEE,TAHLEQUAH,15759 N BRYANT W RD,5/28/2002,35.946865,-95.012612
CHEROKEE,TAHLEQUAH,310 1/2 B COLLEGE ST,8/19/2002,,
CHEROKEE,TAHLEQUAH,20455 WHIPPERWILL HOLLOW RD,5/6/2003,35.92881,-94.941203
CHEROKEE,TAHLEQUAH,408 EAST NORMAL STREET,2/8/2012,35.918497,-94.96452
CHEROKEE,TAHLEQUAH,22013 SOUTH 497 ROAD,10/10/2012,35.854423,-95.009642
CHEROKEE,WELLING,24283 SOUTH WELLING ROAD,6/11/2007,35.824687,-94.881149
CHOCTAW,HUGO,112 CLAYTON W ST,2/19/2002,34.828572,-97.260885
CHOCTAW,HUGO,707 E. LOWERY ST,10/11/2005,34.002887,-95.505287
CHOCTAW,SOPER,701 MAIN N ST,4/26/2005,34.950582,-97.926027
CLEVELAND,MOORE,2128 NAIL PARKWAY,2/24/2000,35.357205,-97.486132
CLEVELAND,MOORE,2712 YORKSHIRE AVE,3/25/2001,35.362904,-97.506862
CLEVELAND,MOORE,3804 COUNTRY CLUB S,9/27/2002,35.302884,-97.465459
CLEVELAND,MOORE,824 NORTHWEST 16TH STREET,8/27/2011,35.352103,-97.503732
CLEVELAND,NOBLE,901 MAGUIRE RD 38,5/15/2001,35.131441,-97.387427
CLEVELAND,NORMAN,906 QUANNAH PARKER TRAIL,2/3/2000,35.2226,-97.4395
CLEVELAND,NORMAN,112 HAYES W,3/1/2000,35.511882,-95.129548
CLEVELAND,NORMAN,313 INDIAN HILLS W RD,8/7/2000,35.290799,-97.445682
CLEVELAND,NORMAN,213 MERCEDES S,7/27/2001,35.2226,-97.4395
CLEVELAND,NORMAN,9351 142ND NE AVE,8/2/2001,35.331135,-97.231744
CLEVELAND,NORMAN,101 MONTICELLO RD,10/25/2001,35.218761,-97.503532
CLEVELAND,NORMAN,1325 CROWN POINT ST 6,4/21/2003,41.816847,-71.406548
CLEVELAND,NORMAN,1406 DORCHESTER DRIVE,8/26/2009,35.231759,-97.457785
CLEVELAND,NORMAN,3490 SOUTH CLASSEN BOULEVARD,12/4/2009,35.205409,-97.43321
CLEVELAND,OKLAHOMA CITY,10300 KEAR DR,4/1/2002,35.364685,-97.323389
CLEVELAND,OKLAHOMA CITY,15500 HARRAH S,12/11/2002,35.473,-97.5171
CLEVELAND,OKLAHOMA CITY,12700 141 SE ST,2/15/2003,34.231756,-95.614106
CLEVELAND,OKLAHOMA CITY,10305 CASA LINDA DR,2/18/2003,35.366144,-97.526845
CLEVELAND,OKLAHOMA CITY,14900 147TH SE,6/24/2003,35.473,-97.5171
CLEVELAND,OKLAHOMA CITY,1308 EAST HILLS DRIVE,7/20/2006,35.353192,-97.469712
COAL,COALGATE,205 ODEN,12/30/2003,34.541442,-96.223757
COMANCHE,APACHE,4703 NORTHEAST KING ROAD,2/17/2010,34.840447,-98.329002
COMANCHE,ELGIN,207 NORTHEAST LITTLE BEAR LOOP,5/18/2009,34.747718,-98.387341
COMANCHE,LAWTON,1419 BISHOP SW ST,1/23/2000,46.989983,-122.920311
COMANCHE,LAWTON,911 11TH SW,9/9/2000,36.798333,-98.675182
COMANCHE,LAWTON,2402 CORNELL S,11/2/2000,34.57972,-98.397901
COMANCHE,LAWTON,613 EUCLID ST,1/11/2001,35.803663,-97.674145
COMANCHE,LAWTON,2406 12TH NW ST,4/25/2001,34.187461,-97.160429
COMANCHE,LAWTON,1602 COLUMBIA NW ST 1,5/6/2001,43.080104,-70.767526
COMANCHE,LAWTON,509 WASHINGTON SW AVE,5/7/2002,36.308359,-95.617252
COMANCHE,LAWTON,4208 BEDFORD SE DR,3/24/2003,34.6087,-98.3903
COMANCHE,LAWTON,2422 D SW AVE,9/25/2003,28.017204,-81.755187
COMANCHE,LAWTON,1210 G SW AVE,1/23/2004,34.419941,-100.223645
COMANCHE,LAWTON,4823 WINFIELD NE CIR,7/12/2004,34.6087,-98.3903
COMANCHE,LAWTON,824 NORTHWEST 20TH STREET,8/12/2010,34.61874,-98.419884
COMANCHE,LAWTON,1525 NORTHWEST 43RD STREET,3/18/2011,34.626595,-98.446381
COMANCHE,LAWTON,804 NORTHWEST ARLINGTON AVE,3/15/2013,34.609924,-98.400391
COMANCHE,LAWTON,26064 NORTHWEST STATE HIGHWAY 58/OK- 3/21/2014,3/21/2014,,
58/WICHITA MOUNTAINS BYWY,,,,,
CRAIG,VINITA,134 SAINTS CIRCLE,7/13/2006,36.6387,-95.1541
CRAIG,VINITA,646 NORTH THOMPSON STREET,5/21/2009,36.649678,-95.151167
CRAIG,VINITA,443454 EAST 320 ROAD,7/22/2010,36.553908,-95.104844
CRAIG,VINITA,401 EAST ATTUCKS,10/4/2011,36.6387,-95.1541
CRAIG,VINITA,311 SOUTH BROWN STREET,2/25/2012,36.638967,-95.167578
CRAIG,WELCH,156 FIRST W AVE,8/18/2003,39.543145,-110.422959
CRAIG,WELCH,440 WASHINGTON S ST,5/10/2004,35.573575,-95.476103
CREEK,BRISTOW,33684 193 WEST S AVE,12/5/2000,36.69524,-97.08466
CREEK,BRISTOW,45470 151ST SOUTH W,6/28/2001,35.94476,-96.504032
CREEK,BRISTOW,402 3RD W,5/31/2002,35.354444,-95.266423
CREEK,BRISTOW,45470 151ST W ST,8/29/2002,34.828572,-97.260885
CREEK,BRISTOW,207 WASHINGTON E,9/3/2002,35.638324,-97.742954
CREEK,BRISTOW,6TH ST 519,7/28/2003,36.803534,-98.666794
CREEK,BRISTOW,20456 401 W S AVE,8/15/2003,35.464075,-95.526369
CREEK,BRISTOW,20601 401 W S ST,8/20/2003,36.87583,-97.05805
CREEK,BRISTOW,351 SOUTH W,8/28/2003,36.598484,-95.984314
CREEK,BRISTOW,49189 WEST 142ND STREET,3/15/2006,35.958105,-96.008737
CREEK,BRISTOW,9021/2 WEST 9TH STREET,9/20/2010,,
CREEK,BRISTOW,20270 SOUTH 401ST WEST AVENUE,11/6/2010,35.868027,-96.44903
CREEK,DEPEW,28587 465 WEST S AVE,8/15/2002,35.464082,-95.527258
CREEK,DEPEW,949 SPRUDY S,4/27/2004,35.8028,-96.5061
CREEK,DRUMRIGHT,205 BRISTOWN ST,5/9/2001,35.9884,-96.6011
CREEK,DRUMRIGHT,400 VIRGINIA S AVE,8/29/2002,36.954315,-94.786417
CREEK,DRUMRIGHT,316 OHIO N ST,8/15/2003,36.909542,-100.538408
CREEK,DRUMRIGHT,112 WOOD E,8/26/2003,36.625086,-94.921805
CREEK,DRUMRIGHT,118 EAST 4TH STREET,2/6/2009,35.981279,-96.601116
CREEK,DRUMRIGHT,105 EAST 3RD STREET,3/13/2010,35.982681,-96.601545
CREEK,JENNINGS,47519 WEST 51ST STREET,2/24/2010,36.090506,-96.524127
CREEK,KELLYVILLE,17 1/2 BUFFALO W ST,10/6/2000,,
CREEK,KELLYVILLE,8235 127TH WEST S AVE,9/19/2001,35.464247,-95.53116
CREEK,KELLYVILLE,16118 MAPLE DR B,10/13/2003,35.92809,-96.186083
CREEK,KELLYVILLE,18318 167TH W ST,3/30/2004,34.828572,-97.260885
CREEK,KELLYVILLE,26275 WEST 171ST STREET,8/2/2009,35.915719,-96.288204
CREEK,KELLYVILLE,441 EAST ALLEN STREET,8/9/2010,35.945087,-96.210969
CREEK,KELLYVILLE,20843 INDIAN ROAD,9/10/2010,35.902055,-96.225671
CREEK,KELLYVILLE,14756 SOUTH 246TH WEST AVENUE,10/28/2010,35.952039,-96.267788
CREEK,KELLYVILLE,18425 SOUTH 177TH W AVENUE,11/17/2010,35.896739,-96.190344
CREEK,KIEFER,207 BROADWAY W ST,7/26/2001,45.977191,-94.371605
CREEK,KIEFER,112 STARK STREET,3/27/2006,35.943317,-96.056709
CREEK,MANNFORD,125 GARDENIA CIR 1040,1/28/2001,36.122247,-96.356256
CREEK,MANNFORD,369TH W AVE,2/8/2001,36.778446,-95.647622
CREEK,MANNFORD,132 LAKE COUNTY,3/15/2002,35.438593,-95.981741
CREEK,MANNFORD,39484 HIGHWAY 33 W,8/7/2002,36.003058,-96.435077
CREEK,MANNFORD,36927 53 W,1/2/2003,35.114058,-95.667248
CREEK,MANNFORD,5822 SOUTH US HIGHWAY 48,4/22/2009,36.05282,-96.38993
CREEK,MANNFORD,8226 SOUTH HWY 48,8/11/2010,36.044654,-96.392213
CREEK,MANNFORD,3547 SOUTH 369TH W AVENUE,2/8/2012,36.112811,-96.402269
CREEK,MOUNDS,13145 EDWARDS RD,2/18/2000,35.818606,-95.95969
CREEK,MOUNDS,8430 183RD ST,2/1/2001,41.55649,-87.822301
CREEK,MOUNDS,358 220 N RD,3/26/2003,36.658415,-96.320382
CREEK,MOUNDS,18391 SOUTH 89TH WEST AVENUE,7/15/2010,35.896687,-96.088927
CREEK,MOUNDS,117 EAST 5TH STREET,8/24/2010,35.868221,-96.057934
CREEK,MOUNDS,17639 SOUTH 49TH WEST AVENUE,11/3/2010,35.906784,-96.04742
CREEK,OAKHURST,6300 W 61 STREET,3/28/2010,39.017459,-94.589477
CREEK,SAND SPRINGS,190 WEKIWA W RD,1/9/2000,36.1394,-96.11
CREEK,SAND SPRINGS,11506 56 W ST,1/17/2000,36.1394,-96.11
CREEK,SAND SPRINGS,1004 FORREST E DR,1/19/2000,36.145239,-96.097618
CREEK,SAND SPRINGS,6408 MERRIMACK DRIVE,10/12/2006,36.071577,-96.296806
CREEK,SAND SPRINGS,27625 ROUND MOUNTAIN DRIVE,8/31/2009,36.085826,-96.301798
CREEK,SAPULPA,1015 JACKSON N E,2/28/2000,27.007461,-81.044002
CREEK,SAPULPA,510 1ST N ST,6/30/2000,37.259902,-105.901233
CREEK,SAPULPA,111 POPLAR N D,10/4/2000,36.795224,-94.72101
CREEK,SAPULPA,225 LINDEN N ST,11/3/2000,34.746555,-97.215063
CREEK,SAPULPA,122 MILL E,11/17/2000,36.691615,-97.313234
CREEK,SAPULPA,113 1/2 BIRCH N,1/21/2001,,
CREEK,SAPULPA,4511 RAY W LN,3/20/2001,36.0005,-96.105
CREEK,SAPULPA,11379 153RD W S AVE,5/27/2001,35.998923,-96.162452
CREEK,SAPULPA,7836 65TH WEST S AVE,6/11/2001,36.048821,-96.066458
CREEK,SAPULPA,7379 58TH W S AVE,7/16/2001,35.464247,-95.53116
CREEK,SAPULPA,713 12TH N ST,7/24/2001,44.323606,-94.473153
CREEK,SAPULPA,2611 HICKORY BLUFF RD,9/17/2001,35.999383,-96.165427
CREEK,SAPULPA,3120 HICKORY BLUFF RD,9/17/2001,35.99813,-96.175996
CREEK,SAPULPA,5411 RAY W LN,9/21/2001,36.0005,-96.105
CREEK,SAPULPA,2207 CEDAR S ST,1/22/2002,44.960071,-93.246698
CREEK,SAPULPA,1501 9TH N ST 41,2/9/2002,35.754215,-98.747869
CREEK,SAPULPA,8718 SUNSET DR,2/21/2002,35.947473,-96.089888
CREEK,SAPULPA,2203 MAIN S ST,5/25/2002,46.844829,-102.789759
CREEK,SAPULPA,12033 250TH WEST S AVE,12/13/2002,35.464247,-95.53116
CREEK,SAPULPA,1301 PARK S ST C24,12/12/2003,31.446161,-83.516428
CREEK,SAPULPA,9608 71ST SOUTH W ST 9608,1/26/2004,37.520471,-97.388146
CREEK,SAPULPA,1003 PFENDLER E ST,2/19/2004,36.003854,-96.100906
CREEK,SAPULPA,222 DEWEY W AVE,10/4/2005,34.709831,-97.230369
CREEK,SAPULPA,505 NORTH 2ND STREET,8/29/2006,36.004607,-96.102393
CREEK,SAPULPA,7925 NEW SAPULPA ROAD,10/16/2008,36.050273,-96.076209
CREEK,SAPULPA,1138 EAST JONES AVENUE,1/8/2009,36.005438,-96.096961
CREEK,SAPULPA,16136 SOUTH HICKORY 67,1/10/2009,35.929029,-96.118818
CREEK,SAPULPA,12224 SHAW DRIVE,2/2/2009,35.986226,-96.140704
CREEK,SAPULPA,17365 SOUTH 97TH WEST AVENUE,4/1/2009,35.911655,-96.100989
CREEK,SAPULPA,811 NORTH 10TH,4/14/2009,36.008555,-96.112736
CREEK,SAPULPA,420 WEST BRYAN AVENUE,4/24/2009,35.992704,-96.119671
CREEK,SAPULPA,8333 SOUTH 127TH WEST AVENUE,6/15/2009,36.040239,-96.134704
CREEK,SAPULPA,11578 W 86TH ST S,7/2/2009,36.038732,-96.122068
CREEK,SAPULPA,9203 GRANT STREET,7/31/2009,36.029925,-96.131121
CREEK,SAPULPA,12117 SOUTH SHAW DRIVE,8/4/2009,35.98622,-96.14022
CREEK,SAPULPA,14839 SOUTH 106TH WEST PLACE 25,8/25/2009,35.949769,-96.111563
CREEK,SAPULPA,720 SOUTH INDEPENDENCE STREET,9/22/2009,35.989911,-96.12054
CREEK,SAPULPA,418 NORTH 3RD STREET,10/19/2009,36.003685,-96.10438
CREEK,SAPULPA,317 SOUTH HAWTHORN STREET,11/13/2009,35.994527,-96.127717
CREEK,SAPULPA,540 QUAIL RUN LANE,1/27/2010,36.006285,-96.084108
CREEK,SAPULPA,11322 SOUTH 193RD WEST AVENUE,2/2/2010,36.000023,-96.20874
CREEK,SAPULPA,9701 NEW SAPULPA ROAD 29A,3/15/2010,36.022473,-96.092722
CREEK,SAPULPA,1469 EAST JONES,7/10/2010,36.006188,-96.089021
CREEK,SAPULPA,12418 SOUTH 241 WEST AVENUE,7/16/2010,34.726942,-97.230393
CREEK,SAPULPA,15248 GREENHILL DRIVE,7/28/2010,36.0005,-96.105
CREEK,SAPULPA,11379 SOUTH 153RD W. AVENUE,7/29/2010,35.998923,-96.162452
CREEK,SAPULPA,623 SOUTH ELM,8/20/2010,35.991211,-96.109261
CREEK,SAPULPA,212 DIVISION,9/7/2010,35.663208,-97.327158
CREEK,SAPULPA,10380 SOUTH 235TH W AVENUE,9/15/2010,36.013525,-96.255855
CREEK,SAPULPA,111 EAST BURNHAM,9/16/2010,35.980632,-96.111501
CREEK,SAPULPA,1140 EAST MCKINLEY AVENUE,11/2/2010,35.994238,-96.096869
CREEK,SAPULPA,9410 WEST SOUTHFORK ROAD,4/7/2011,35.932737,-96.099278
CREEK,SHAMROCK,32 EAST 2ND,8/9/2006,35.653155,-97.480991
CREEK,TERLTON,989 TRAIL END ROAD,2/7/2012,36.14997,-96.420488
CREEK,TULSA,6121 SOUTH 45TH W AVENUE,5/7/2009,36.074511,-96.043269
CREEK,TULSA,8418 SOUTH 36TH WEST AVENUE,11/12/2009,36.042056,-96.033583
CREEK,TULSA,7522 SOUTH 63RD WEST AVENUE,4/27/2010,36.053259,-96.062504
CREEK,TULSA,6715 WEST SOUTH 64TH STREET B,3/28/2011,36.047588,-95.708745
CUSTER,BUTLER,320 AMES N,3/29/2002,35.638746,-99.185228
CUSTER,CANUTE,PANTHER CREEK ROAD RT2 3A,7/26/2007,34.9508866,-100.164002
CUSTER,CLINTON,1006 ORIENT,4/5/2002,35.516141,-98.972561
CUSTER,CLINTON,2401 28TH S,4/30/2004,27.746577,-82.671125
DELAWARE,BERNICE,206 SKYLINE,9/29/2011,36.62698,-94.915688
DELAWARE,COLCORD,362 SERENITY DRIVE,3/19/2011,36.174385,-94.572366
DELAWARE,EUCHA,181 MOBILE VISTA DRIVE,2/5/2011,36.474652,-94.917719
DELAWARE,GROVE,1531 80TH ST,2/13/2001,36.618274,-94.810095
DELAWARE,GROVE,60950 360 E RD,6/12/2001,32.22467,-98.190176
DELAWARE,GROVE,1011 SOUTH MILL STREET,7/1/2008,36.587065,-94.766661
ELLIS,FARGO,316 WALNUT S,6/21/2001,36.373319,-99.624364
GARFIELD,ENID,575 DAVIS N,9/1/2001,36.4356,-97.8689
GARFIELD,ENID,601 OKLAHOMA W,4/5/2002,36.433576,-99.386827
GARFIELD,ENID,605 6 N ST,8/22/2002,34.753683,-98.185221
GARFIELD,ENID,1210 CYPRESS E,10/6/2003,35.529182,-98.694007
GRADY,BLANCHARD,2476 COUNTY ROAD 1339,3/25/2004,35.07499,-97.675004
GRADY,CHICKASHA,2236 COUNTY ROAD 1236,10/28/2004,35.491774,-97.15909
GRADY,MINCO,1616 EIGHT ST,6/11/2001,36.666644,-97.811133
GRADY,MINCO,1013 WASHINGTON W,4/30/2002,35.664962,-97.473573
GRADY,NICUT,3002 4 S ST,10/13/2000,33.99962,-95.09479
GRADY,NINNEKAH,615 9TH N ST,7/12/2000,44.321335,-94.468904
GRADY,RUSH SPRINGS,1014 19TH S ST,4/17/2003,34.7826,-97.957
GRADY,RUSH SPRINGS,525 WASHINGTON W,10/10/2003,34.7826,-97.957
GRADY,RUSH SPRINGS,902 DELAWARE AVE,1/23/2005,36.743684,-95.97346
GRADY,TUTTLE,1210 IDAHO W AVE,1/15/2000,36.776375,-95.647265
GRADY,TUTTLE,1103 2ND NW,1/13/2003,36.87778,-94.889612
GRADY,TUTTLE,1103 SECOND NW ST,8/3/2003,36.87778,-94.889612
GRADY,TUTTLE,209 1/2 CEMETERY N RD,9/3/2003,,
GRANT,NASH,708 KIOWA W,11/17/2000,36.434917,-97.578832
GREER,RUSSELL,1336 COUNTY RD 1550,9/3/2004,34.772421,-97.869282
HARMON,GOULD,GIBSON RD 793,7/21/2003,32.448951,-96.773146
HARMON,HOLLIS,4208 VERNON DR,8/22/2002,35.287004,-97.73974
HARMON,VINSON,310 COTTONWOOD DR,11/9/2004,35.285709,-97.696014
HASKELL,KEOTA,310 COTTONWOOD DR,10/24/2002,35.285709,-97.696014
HASKELL,MCCURTAIN,603 MAIN S,11/15/2000,35.313095,-97.948807
HASKELL,STIGLER,512 WEST BROADWAY STREET,5/4/2001,34.174747,-97.134006
HASKELL,STIGLER,314 COLLEGE ST,5/20/2010,34.238785,-96.756991
HASKELL,STIGLER,320 VERSA E,11/1/2010,34.687072,-99.9213
HUGHES,CALVIN,206 BURTON STREET,5/9/2004,42.362616,-87.853695
HUGHES,CALVIN,30878 SOUTH SHW 82,9/26/2009,34.9674,-96.2522
HUGHES,HOLDENVILLE,9th 207 SE ST 5A,8/11/2004,35.623812,-98.316371
HUGHES,WETUMKA,8117 EAST E/W 130 ROAD,1/5/2014,,
JACKSON,ALTUS,118 SOUTHWEST C STREET,4/23/2002,35.251097,-95.128526
JACKSON,ALTUS,306 NORTHEAST 3RD,5/29/2003,35.962725,-95.374156
JACKSON,ALTUS,502 NORTHWEST 3RD,9/12/2003,35.243247,-94.625269
JACKSON,ALTUS,705 NORTHWEST 2ND,10/5/2003,35.340132,-97.498525
JACKSON,ALTUS,931 KATY,12/15/2014,33.998511,-96.371784
JACKSON,BLAIR,4302 NORTH 381 ROAD,2/11/2003,34.7795,-99.3354
JACKSON,BLAIR,413 VORHEES N ST,5/9/2008,34.746558,-97.209099
JACKSON,ELDORADO,201 BURNS N ST,3/18/2008,34.746558,-97.209099
JACKSON,OLUSTEE,8218 COUNTY RD 121 E RD,11/23/2002,36.376614,-98.245828
JEFFERSON,ADDINGTON,427 EVERETT,4/19/2002,34.62571,-99.32994
